,id,name_En,color_hist
0,12341,balloon flower,"[2.000e+00 6.000e+01 3.390e+02 2.870e+02 1.470e+02 8.100e+01 4.800e+01
 2.000e+00 0.000e+00 0.000e+00 0.000e+00 1.900e+01 0.000e+00 0.000e+00
 0.000e+00 3.500e+01 0.000e+00 4.000e+00 0.000e+00 4.581e+03 1.900e+01
 1.800e+02 1.000e+00 9.300e+01 0.000e+00 3.000e+00 0.000e+00 4.660e+02
 2.854e+03 1.320e+02 3.613e+03 3.000e+00 0.000e+00 0.000e+00 2.263e+03
 0.000e+00 1.400e+01 8.100e+01 1.500e+01 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.920e+02 0.000e+00
 2.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.570e+02
 2.438e+03 2.890e+02 4.291e+03 9.000e+00 0.000e+00 1.100e+01 7.410e+02
 0.000e+00 0.000e+00 0.000e+00 1.000e+00 3.000e+00 5.000e+00 8.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.380e+02
 5.490e+02 6.060e+02 8.680e+02 1.530e+02 2.000e+01 1.180e+02 0.000e+00]"
1,13216,balloon flower,"[3.000e+01 9.000e+00 1.500e+01 2.500e+01 2.400e+01 3.200e+01 2.400e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.700e+01 0.000e+00 0.000e+00
 0.000e+00 1.350e+02 6.000e+00 1.000e+00 0.000e+00 1.011e+03 1.000e+00
 7.780e+02 0.000e+00 4.500e+01 0.000e+00 0.000e+00 0.000e+00 5.088e+03
 6.298e+03 1.496e+03 8.000e+00 0.000e+00 0.000e+00 0.000e+00 1.995e+03
 0.000e+00 1.000e+00 7.000e+00 1.700e+01 4.000e+01 4.300e+01 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 6.100e+01 0.000e+00
 1.400e+01 1.000e+00 2.200e+01 0.000e+00 1.000e+00 0.000e+00 3.543e+03
 3.208e+03 2.089e+03 5.000e+00 0.000e+00 0.000e+00 0.000e+00 6.060e+02
 7.000e+00 3.400e+01 6.900e+01 1.060e+02 2.010e+02 9.500e+01 1.900e+01
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.200e+01 0.000e+00 1.000e+00 0.000e+00 1.833e+03
 5.250e+02 8.200e+01 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]"
2,13501,balloon flower,"[4.210e+02 1.134e+03 1.941e+03 3.594e+03 2.868e+03 1.653e+03 3.754e+03
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 2.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00
 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.920e+02
 2.823e+03 3.290e+02 8.000e+02 5.000e+00 1.000e+00 0.000e+00 2.003e+03
 3.300e+01 1.400e+01 4.200e+01 1.280e+02 5.830e+02 9.180e+02 1.335e+03
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.790e+02
 5.471e+03 1.183e+03 2.235e+03 0.000e+00 4.000e+00 0.000e+00 1.116e+03
 5.200e+01 4.200e+01 3.800e+01 3.600e+01 2.500e+01 9.000e+00 5.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.550e+02
 8.630e+02 1.279e+03 1.011e+03 1.200e+01 0.000e+00 0.000e+00 0.000e+00]"
3,13521,balloon flower,"[4.000e+00 2.800e+01 1.640e+02 3.420e+02 6.690e+02 5.740e+02 3.334e+03
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.400e+02 3.000e+00
 2.340e+02 1.000e+00 1.232e+03 1.000e+00 2.440e+03 0.000e+00 2.402e+03
 5.676e+03 1.950e+02 1.550e+02 0.000e+00 0.000e+00 0.000e+00 1.934e+03
 0.000e+00 0.000e+00 2.000e+00 1.000e+00 1.200e+01 4.900e+01 6.680e+02
 1.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e+00 3.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.000e+00 0.000e+00
 9.500e+01 0.000e+00 7.700e+01 0.000e+00 1.630e+02 2.000e+00 2.811e+03
 5.752e+03 5.890e+02 2.300e+01 0.000e+00 0.000e+00 0.000e+00 6.260e+02
 4.000e+00 1.000e+01 1.400e+01 4.300e+01 6.400e+01 1.660e+02 5.510e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.000e+00 4.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.580e+02
 1.428e+03 1.520e+02 1.200e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00]"
4,14889,balloon flower,"[2.200e+01 9.100e+01 7.000e+01 6.900e+01 7.100e+01 5.000e+01 5.200e+01
 7.200e+01 0.000e+00 5.000e+00 0.000e+00 1.660e+02 4.000e+00 4.000e+00
 0.000e+00 3.939e+03 1.000e+01 3.604e+03 0.000e+00 7.200e+01 0.000e+00
 1.000e+02 0.000e+00 5.000e+00 0.000e+00 0.000e+00 0.000e+00 8.060e+02
 7.632e+03 4.760e+02 1.962e+03 2.220e+02 3.000e+01 4.000e+00 2.586e+03
 1.400e+01 4.000e+01 1.400e+01 1.100e+01 8.000e+00 3.400e+01 8.600e+01
 1.600e+01 0.000e+00 0.000e+00 0.000e+00 4.100e+01 0.000e+00 0.000e+00
 0.000e+00 5.670e+02 0.000e+00 3.870e+02 0.000e+00 1.300e+01 0.000e+00
 3.000e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.690e+02
 7.844e+03 1.246e+03 8.810e+02 6.000e+01 3.000e+01 1.000e+00 1.086e+03
 0.000e+00 0.000e+00 0.000e+00 1.000e+00 4.000e+00 1.700e+01 8.100e+01
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.610e+02
 2.528e+03 3.950e+02 7.400e+02 9.000e+00 1.800e+01 0.000e+00 2.000e+00]"
5,6638,balloon flower,"[4.900e+01 2.530e+02 2.880e+02 3.270e+02 4.680e+02 1.458e+03 6.700e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.640e+02 0.000e+00 6.000e+00
 0.000e+00 2.396e+03 8.200e+01 1.600e+01 6.000e+00 1.860e+03 1.610e+02
 6.690e+02 8.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 1.983e+03
 9.299e+03 1.820e+02 4.000e+01 0.000e+00 0.000e+00 1.000e+00 2.430e+03
 8.000e+00 3.400e+01 1.150e+02 1.430e+02 6.900e+01 4.900e+01 1.500e+01
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.000e+00 0.000e+00 1.000e+00
 0.000e+00 7.840e+02 2.600e+01 1.000e+00 0.000e+00 2.590e+02 1.000e+00
 9.400e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.588e+03
 8.707e+03 2.580e+02 2.900e+01 2.000e+00 0.000e+00 0.000e+00 8.300e+02
 2.000e+00 8.000e+00 1.100e+01 2.700e+01 4.700e+01 4.500e+01 9.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.010e+02
 3.070e+03 2.800e+01 3.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]"
6,9473,balloon flower,"[2.120e+02 1.800e+02 5.800e+01 3.000e+01 1.500e+01 1.300e+01 2.619e+03
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.260e+02 1.000e+00 1.400e+01 1.000e+00 4.038e+03 8.900e+01
 3.051e+03 4.000e+00 1.170e+02 2.000e+00 3.000e+00 0.000e+00 1.651e+03
 5.188e+03 1.900e+01 5.000e+00 0.000e+00 0.000e+00 0.000e+00 2.316e+03
 5.600e+01 6.900e+01 3.900e+01 3.000e+01 1.000e+01 1.600e+01 4.500e+01
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 4.800e+01 0.000e+00 0.000e+00 0.000e+00 5.160e+02 1.000e+00
 2.570e+02 0.000e+00 2.500e+01 0.000e+00 2.000e+00 0.000e+00 2.343e+03
 7.321e+03 3.900e+01 2.000e+00 0.000e+00 0.000e+00 0.000e+00 8.740e+02
 6.000e+00 1.600e+01 3.600e+01 4.200e+01 5.000e+01 6.000e+01 1.720e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e+01 0.000e+00
 0.000e+00 0.000e+00 3.000e+00 0.000e+00 2.000e+00 0.000e+00 2.694e+03
 4.410e+02 7.300e+01 3.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]"
7,13488,bishop of llandaff,"[1.532e+03 2.306e+03 2.489e+03 1.007e+03 1.200e+01 4.000e+00 9.000e+00
 9.110e+02 4.700e+01 1.764e+03 2.745e+03 3.430e+02 2.900e+01 6.900e+01
 4.000e+00 1.000e+02 1.200e+01 9.000e+00 0.000e+00 4.400e+01 1.000e+00
 3.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 7.100e+01
 0.000e+00 5.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.071e+03
 5.500e+01 2.350e+02 5.600e+01 9.100e+01 1.700e+01 0.000e+00 0.000e+00
 3.200e+02 9.200e+01 1.590e+03 5.858e+03 6.400e+01 4.000e+00 4.000e+00
 4.000e+00 4.700e+01 0.000e+00 1.000e+00 0.000e+00 3.500e+01 0.000e+00
 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.200e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.300e+01 5.500e+01 1.051e+03 1.401e+03 1.000e+00 7.300e+01 6.100e+01
 1.730e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]"
8,14208,bishop of llandaff,"[4.3150e+03 1.7680e+03 9.0900e+02 5.3900e+02 6.9000e+01 1.1000e+01
 3.3600e+02 2.5300e+03 2.2400e+02 1.7460e+03 4.4510e+03 6.6600e+02
 1.0000e+01 9.0000e+01 2.0000e+00 5.2400e+02 1.6000e+01 4.0300e+02
 1.1300e+02 1.6000e+02 9.0000e+00 1.0000e+01 0.0000e+00 6.2000e+01
 4.0000e+00 1.0000e+00 0.0000e+00 2.8300e+02 8.0000e+00 2.0000e+01
 0.0000e+00 1.3400e+02 4.0000e+00 4.0000e+00 2.7640e+03 3.6700e+02
 6.0000e+00 3.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 3.7200e+02 5.7000e+01 1.1790e+03 1.2861e+04 1.2000e+01 0.0000e+00
 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 6.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00
 1.0000e+01 1.0000e+00 2.0000e+00 1.2690e+03 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.7000e+01
 9.5000e+01 1.3800e+03 2.4820e+03 3.0000e+00 1.1200e+02 1.8600e+02
 4.5400e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00]"
9,14524,bishop of llandaff,"[5.000e+00 6.800e+01 4.400e+01 5.100e+01 3.000e+00 0.000e+00 0.000e+00
 3.130e+02 1.420e+02 2.097e+03 7.770e+03 2.200e+01 0.000e+00 5.000e+00
 0.000e+00 3.600e+01 0.000e+00 5.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 6.000e+00 0.000e+00 0.000e+00 2.037e+03
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 6.600e+01 6.300e+01 2.802e+03 3.136e+03 9.000e+00 4.300e+01 7.400e+01
 9.000e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.480e+02
 5.000e+00 1.700e+01 3.700e+01 2.400e+01 1.500e+01 4.000e+00 0.000e+00
 9.200e+01 4.200e+01 1.047e+03 1.300e+02 8.900e+01 3.700e+01 1.870e+02
 6.900e+01 3.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]"
